District,School,Category,Issue Theme,Unique User Count,Total Feedbacks,True Complaint Count,Complaints
ELURU,"Dr. B. R. Ambedkar Gurukulam/JC,POLASANIPALLI",CARETAKER_SATISFACTION,Caretaker behavior issue,346,407,1 (0% of feedbacks),Chalasamsamruthi caretakarga two years chalabaga ma ammayi chusukunaru
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,ADHONI",CARETAKER_SATISFACTION,Need child consultation,52,58,1 (2% of feedbacks),"We should talk to our children first and find out all this, shouldn't we?"
NANDYAL,"Dr. B. R. Ambedkar Gurukulam,LAXMAPURAM",PRINCIPAL_SATISFACTION,General disappointment,225,278,1 (0% of feedbacks),Very disappointed
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,CHILLAKUR",TEACHER_COMMUNICATION_RATING,Unclear communication,244,302,1 (81% of feedbacks),307 1 I said.
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,SATHIVEDU (DPIP)",DIET_MENU_RATING,Poor diet quality,198,231,1 (86% of feedbacks),Very disappoint
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam,KONDEPI",OVERALL_SATISFACTION_RATING,Disappointment with care quality,82,95,1 (86% of feedbacks),Anni sadupayalu chala bavunnai
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,KAMALAPURAM",DIET_MENU_RATING,Unpleasant food taste,27,29,1 (93% of feedbacks),The taste is not good.
KRISHNA,"Dr. B. R. Ambedkar Gurukulam/JC,RUDRAVARAM",CARETAKER_SATISFACTION,No caretaker provided,99,105,1 (94% of feedbacks),No caretaker.
KURNOOL,"Dr. B. R. Ambedkar Gurukulam Jr. College,CHINNATEKURU ( JR COL)",OVERALL_SATISFACTION_RATING,Inferior to welfare standards,74,86,1 (86% of feedbacks),Compare this to the benefits provided by BC Welfare and you will understand how far behind we are.
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,KURUGUNTA",DRINKING_WATER_RATING,Water scarcity nearby,423,551,1 (77% of feedbacks),Drink ing Water not available surrounding places
ANNATAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,GOOTY (DPIP)",SAFETY_MEASURES_RATING,Safety concerns expressed,242,296,1 (82% of feedbacks),Are you okay?
EAST GODAVARI,"Dr. B. R. Ambedkar Gurukulam/JC,KOVVURU (BCRS)",EXTRACURRICULAR_RATING,No PD/sports issues,106,152,1 (1% of feedbacks),We don't have PD
CHITTOOR,"Dr. B. R. Ambedkar Gurukulam/JC,KUPPAM (DPIP)",EXTRACURRICULAR_RATING,No provision,304,395,1 (0% of feedbacks),No provided 2 No provided 2
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,GOOTY (DPIP)",DIET_MENU_RATING,Very bad food,246,299,1 (0% of feedbacks),Very bad food
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,DAKKILI",TEACHER_COMMUNICATION_RATING,Teachers not working,225,341,1 (0% of feedbacks),Teachers is not working and staff chala thakuvani thelisindhi.konni subjects ki assalu Teachers leru antaa
KURNOOL,"Dr. B. R. Ambedkar Gurukulam Jr. College,CHINNATEKURU (JR COL)",CARETAKER_SATISFACTION,Caretaker rude to students,73,85,1 (1% of feedbacks),caretaker was not good he always scolds students the way he talks was rash and rude better to replace caretaker
SRI SATHYA SAI,"Dr. B. R. Ambedkar Gurukulam/JC,HINDUPUR (DPIP)",OVERALL_SATISFACTION_RATING,Games are poor,76,97,1 (1% of feedbacks),Games are poor
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,MADAKALAVARIPALLI AT TGP CAMP BADDVEL",DRINKING_WATER_RATING,No drinking water,28,44,1 (2% of feedbacks),There is no drinking water there at all
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam,KONDEPI",TEACHER_COMMUNICATION_RATING,Using bad words,83,95,1 (1% of feedbacks),Using some bad words
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,DAKKILI",DIET_MENU_RATING,Food tastes bad/watery,227,343,1 (0% of feedbacks),"The food doesn't taste that good ; Rating: 2 cups of water, add a little bit of sambar water, it's watery"
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,PUDURU AT NAIDUPET",EXTRACURRICULAR_RATING,Sports from 5th grade,193,241,1 (0% of feedbacks),It would be good if sports development for children started from 5th grade
ELURU,"Dr. B. R. Ambedkar Gurukulam/JC,DWARAKA TIRUMALA",DRINKING_WATER_RATING,No proper/muddy water,295,335,1 (0% of feedbacks),There is no proper water. Muddy water we are drinking
ANAKAPALLI,"Dr. B. R. Ambedkar Gurukulam/JC,NARSIPATNAM",DIET_MENU_RATING,Improve diet menu,38,44,1 (2% of feedbacks),improve diet menu
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,PEAPALLY",EDUCATION_QUALITY_RATING,No reason,46,58,0 (0% of feedbacks),—
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,PUDURU AT NAIDUPET",DRINKING_WATER_RATING,No valid complaints,188,230,0 (0% of feedbacks),—
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,DAKKILI",CARETAKER_SATISFACTION,No valid complaints,226,347,0 (0% of feedbacks),—
EAST GODAVARI,"Dr. B. R. Ambedkar Gurukulam/JC,KOVVURU (BCRS)",TEACHER_COMMUNICATION_RATING,No valid complaints,105,151,0 (0% of feedbacks),—
