District,School,Category,Issue Theme,Unique User Count,Total Feedbacks,True Complaint Count,Complaints
KURNOOL,"Dr. B. R. Ambedkar Gurukulam/JC,KURNOOL",CLEANLINESS_RATING,"Lack of hygiene, facilities",11,11,1 (100% of feedbacks),Lack of proper hygiene ; No proper water for children's needs ; No proper facilities for washing clothes
KURNOOL,"Dr. B. R. Ambedkar Gurukulam Jr. College,CHINNATEKURU ( JR COL)",PRINCIPAL_SATISFACTION,Principal irresponsible,74,85,1 (1% of feedbacks),He's very irresponsible
KURNOOL,"Dr. B. R. Ambedkar Gurukulam Jr. College,CHINNATEKURU ( JR COL)",DIET_MENU_RATING,Poor diet menu,75,87,1 (1% of feedbacks),For first year food was excellent but in second year it's very poor
PRAKASAM,New Nabard School Kurichedu,DRINKING_WATER_RATING,Bore water provided,13,13,1 (8% of feedbacks),Children are being given bore water.
DR.B.R.AMBEDKAR KONASEEMA,"Dr. B. R. Ambedkar Gurukulam/JC,RAZOLE (BCRS)",DIET_MENU_RATING,"Poor, tasteless menu",15,16,1 (6% of feedbacks),Not satisfied due to menu is very poor and tasteless quality.
DR.B.R.AMBEDKAR KONASEEMA,"Dr. B. R. Ambedkar Gurukulam/JC,RAZOLE (BCRS)",EXTRACURRICULAR_RATING,"No activities, sports",15,15,1 (7% of feedbacks),There is no activities no participated games and sports.
NANDYAL,"Dr. B. R. Ambedkar Gurukulam/JC,JUPADU BANG",DRINKING_WATER_RATING,Water bag issue,63,75,1 (1% of feedbacks),Water bag
SRI SATHYA SAI,"Dr. B. R. Ambedkar Gurukulam,NALLAMADA",CARETAKER_SATISFACTION,Caretaker pay issue,163,179,1 (1% of feedbacks),Pay early.
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,KURUGUNTA",CARETAKER_SATISFACTION,Children neglected by caretaker,427,561,1 (0% of feedbacks),Moscow 2 Madam Our rating is 2 We are unable to give a rating due to neglect of children.
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,SULURUPET",DRINKING_WATER_RATING,Drinking water problem,299,344,1 (0% of feedbacks),Water facility is not good.. drinking water problem
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,SULURUPET",DIET_MENU_RATING,Only first aid treatment,298,344,1 (0% of feedbacks),Given only first aid treatment only
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam,KORRAPADU",DRINKING_WATER_RATING,Water facilities unsatisfactory,361,485,1 (0% of feedbacks),water facilities marusanaga undavu
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,GOOTY (DPIP)",DIET_MENU_RATING,Very bad food,246,299,1 (0% of feedbacks),My rating ---1 Very bad food
EAST GODAVARI,"Dr. B. R. Ambedkar Gurukulam/JC,KOVVURU (BCRS)",EXTRACURRICULAR_RATING,No PD teacher,106,152,1 (1% of feedbacks),We don't have PD.
KURNOOL,"Dr. B. R. Ambedkar Gurukulam Jr. College,CHINNATEKURU ( JR COL)",CARETAKER_SATISFACTION,Caretaker rude behavior,73,85,1 (1% of feedbacks),caretaker was not good he always scolds students the way he talks was rash and rude better to replace caretaker
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam,KONDEPI",TEACHER_COMMUNICATION_RATING,Teacher bad words,83,95,1 (1% of feedbacks),Using some bad words
ANAKAPALLI,"Dr. B. R. Ambedkar Gurukulam/JC,NARSIPATNAM",DIET_MENU_RATING,Improve diet menu,38,44,1 (2% of feedbacks),improve diet menu
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,GOOTY (DPIP)",DRINKING_WATER_RATING,Water not purified properly,248,302,1 (0% of feedbacks),Not properly purified
