District,School,Category,Issue Theme,Unique User Count,Total Feedbacks,True Complaint Count,Complaints
PALNADU,"Dr. B. R. Ambedkar Gurukulam/JC,V P SOUTH (Macherla)",DRINKING_WATER_RATING,Dirty water,24,29,1 (3% of feedbacks),Because boar water
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,GOOTY (DPIP)",SAFETY_MEASURES_RATING,Poor safety,242,296,1 (0% of feedbacks),Are you okay?
SRI SATHYA SAI,"Dr. B. R. Ambedkar Gurukulam/JC,MALUGURU",OVERALL_SATISFACTION_RATING,Poor facilities,37,44,1 (2% of feedbacks),What are you missing?
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam/JC,SINGARAYAKONDA",EXTRACURRICULAR_RATING,No activity,61,74,1 (1% of feedbacks),1 Because they don't do the extracurricular activities
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,PUDURU AT NAIDUPET",DIET_MENU_RATING,Poor food,189,233,1 (0% of feedbacks),Wednesday Bency Matram Petttadhu Yebidda Kuda Thinadhu 2 Okay
SRI SATHYA SAI,"Dr. B. R. Ambedkar Gurukulam/JC,MALUGURU",CARETAKER_SATISFACTION,Lack of chefs,39,46,1 (2% of feedbacks),Very dissatisfied because lack of chefs
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,KURUGUNTA",DRINKING_WATER_RATING,No water,423,551,1 (0% of feedbacks),Drink ing Water not available surrounding places
ELURU,"Dr. B. R. Ambedkar Gurukulam/JC,DWARAKA TIRUMALA",HEALTHCARE_RATING,Bad medicine,297,337,1 (0% of feedbacks),Government tablet too bad
ELURU,"Dr. B. R. Ambedkar Gurukulam/JC,DWARAKA TIRUMALA",DIET_MENU_RATING,Poor diet,298,338,1 (0% of feedbacks),There is no proper cooking
ELURU,"Dr. B. R. Ambedkar Gurukulam/JC,DWARAKA TIRUMALA",SAFETY_MEASURES_RATING,Overly restrictive,295,334,1 (0% of feedbacks),it is more than jail
Y.S.R.,"Dr. B. R. Ambedkar Gurukulam/JC,MADAKALAVARIPALLI AT TGP CAMP BADDVEL",DRINKING_WATER_RATING,No drinking water facility,28,44,1 (2% of feedbacks),There is no drinking water there at all ; Upper nerve Water problem
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,DAKKILI",CARETAKER_SATISFACTION,Discipline/Communication issues,226,347,1 (0% of feedbacks),inkaa better avvali
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,DAKKILI",TEACHER_COMMUNICATION_RATING,Staff absenteeism/Lack of teachers,225,341,1 (0% of feedbacks),Teachers is not working and staff chala thakuvani thelisindhi.konni subjects ki assalu Teachers leru antaa
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,GOOTY (DPIP)",DRINKING_WATER_RATING,Impure water supply,248,302,1 (0% of feedbacks),Not properly purified
SRI SATHYA SAI,"Dr. B. R. Ambedkar Gurukulam/JC,HINDUPUR (DPIP)",OVERALL_SATISFACTION_RATING,Poor sports facilities,76,97,1 (1% of feedbacks),Games are poor
KURNOOL,"Dr. B. R. Ambedkar Gurukulam Jr. College,CHINNATEKURU  ( JR COL)",CARETAKER_SATISFACTION,Rude caretaker behavior,73,85,1 (1% of feedbacks),caretaker was not good he always scolds students the way he talks was rash and rude better to replace caretaker
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,DAKKILI",DIET_MENU_RATING,Poor food quality,227,343,1 (0% of feedbacks),The food doesn't taste that good
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,PUDURU AT NAIDUPET",DRINKING_WATER_RATING,Water facility issues,188,230,1 (0% of feedbacks),Bad 1
EAST GODAVARI,"Dr. B. R. Ambedkar Gurukulam/JC,KOVVURU (BCRS)",EXTRACURRICULAR_RATING,No PD/Sports,106,152,1 (1% of feedbacks),We don't have PD
ANAKAPALLI,"Dr. B. R. Ambedkar Gurukulam/JC,NARSIPATNAM",DIET_MENU_RATING,Diet menu improvement needed,38,44,1 (2% of feedbacks),improve diet menu
ANANTAPUR,"Dr. B. R. Ambedkar Gurukulam/JC,KURUGUNTA",EXTRACURRICULAR_RATING,No games/sports,420,546,1 (0% of feedbacks),My Child No Games
TIRUPATI,"Dr. B. R. Ambedkar Gurukulam/JC,PUDURU AT NAIDUPET",EXTRACURRICULAR_RATING,Late sports start age,193,241,1 (0% of feedbacks),It would be good if sports development for children started from 5th grade
PRAKASAM,"Dr. B. R. Ambedkar Gurukulam,KONDEPI",TEACHER_COMMUNICATION_RATING,Use of bad language,83,95,1 (1% of feedbacks),Using some bad words
CHITTOOR,"Dr. B. R. Ambedkar Gurukulam/JC,KUPPAM (DPIP)",EXTRACURRICULAR_RATING,Activities not provided,304,395,1 (0% of feedbacks),No provided 2 No provided 2
ELURU,"Dr. B. R. Ambedkar Gurukulam/JC,DWARAKA TIRUMALA",DRINKING_WATER_RATING,No proper water facility,295,335,1 (0% of feedbacks),There is no proper water. Muddy water we are drinking
